Product Name ,Product Price,Review
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",799,4
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","1,499",4.1
"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & B...","1,299",3.9
"POCO Pods with 30 Hour Playback, 12mm Drivers, 60ms Lat...","1,199",3.7
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",799,3.9
"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",599,4
"Mivi Commando X7,35ms Low Latency,13mm Bass,50H Playtim...",799,3.9
"truke Buds Q1 Lite with Quad-Mic ENC, 48H Playtime, Roy...",699,3.9
boAt Airdopes 131 Captain America Edition with 60 Hours...,"1,299",4
"Mivi SuperPods Opera ANC earbuds [Flagship Launch], Hi-...","2,499",4.9
"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",799,4
"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",799,3.9
"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","2,499",4.1
"boAt Airdopes 161 Hulk Edition w/ 40 HRS Playback, ASAP...","1,399",4
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
HOUSE OF SOUND NEW FALCON EARBUDS Bluetooth Gaming,599,4
"HOPPUP Predator Xo1 Gaming Earbuds with 50H Playtime,13...",699,4.1
"truke Clarity 6 with 80Hr Battery, 6Mic Adv.ENC, Dual C...",899,3.7
"boAt Airdopes 800 w/ Dolby Audio, 4 Mics AI-ENx Tech, T...","1,799",4
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",999,4
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",699,4.1
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",999,4.1
"Boult Z40 Gaming with 60H Battery, App Support, Dual Pa...","1,199",4.1
"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...","1,099",4.1
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",999,4
"boAt Airdopes 181 Pro w/ 100 HRS Playback, 4 Mics ENx T...","1,399",3.9
OPPO Enco Air3 Pro Industry first Composite Bamboo Fibe...,"4,999",4.3
